172.22.0.1 - - [29/Mar/2025:01:31:38 +0000] "GET /apple-touch-icon.png HTTP/1.1" 404 6622 "-" "com.apple.WebKit.Networking/20620.2.4.11.6 CFNetwork/3826.400.120 Darwin/24.3.0" "-"
172.22.0.1 - - [29/Mar/2025:01:31:38 +0000] "GET /apple-touch-icon-precomposed.png HTTP/1.1" 404 6616 "-" "com.apple.WebKit.Networking/20620.2.4.11.6 CFNetwork/3826.400.120 Darwin/24.3.0" "-"
172.22.0.1 - - [29/Mar/2025:01:31:38 +0000] "GET /favicon.ico HTTP/1.1" 404 6622 "-" "com.apple.WebKit.Networking/20620.2.4.11.6 CFNetwork/3826.400.120 Darwin/24.3.0" "-"
172.22.0.1 - - [29/Mar/2025:01:36:39 +0000] "GET / HTTP/1.1" 302 370 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Safari/537.36" "-"
172.22.0.1 - - [29/Mar/2025:01:36:39 +0000] "\x16\x03\x01\x06\xF2\x01\x00\x06\xEE\x03\x039p\xD1\x86g\x8F\x97\x5Cl\xA9\xE1 z\xFE\x0Cs\x06C\xBF\x8C\xF7\x9B\x7F\xB4\xB9c\xA6\xD8\xC0C\xF9\xD1 \xD8QL\x09\xE2\xFB\x13" 400 157 "-" "-" "-"
172.22.0.1 - - [29/Mar/2025:01:36:39 +0000] "\x16\x03\x01\x07\x12\x01\x00\x07\x0E\x03\x03K\xEC\xD8\x98\xC6\x1A\x063\xF1\xE2^\xC9\xFF\xDAM\xB5R\xA4\xE8\x8D\xF1;eA\xB0y\xCD\x91\xB0\xCD\xB0\xBE R\xD3\xE9\xF2\xBE\xB1\xD1\xB0Z\xAD\x0B\x83\xFB\x01\xE0\x17x\xAE\xF9!\xA6\x07B\xCE&\x08_\xED\x09\x01\xF0\xD6\x00 jj\x13\x01\x13\x02\x13\x03\xC0+\xC0/\xC0,\xC00\xCC\xA9\xCC\xA8\xC0\x13\xC0\x14\x00\x9C\x00\x9D\x00/\x005\x01\x00\x06\xA5**\x00\x00\xFF\x01\x00\x01\x00\x00\x12\x00\x00\x00" 400 157 "-" "-" "-"
172.22.0.1 - - [29/Mar/2025:01:36:52 +0000] "GET /login HTTP/1.1" 200 6697 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Safari/537.36" "-"
172.22.0.1 - - [29/Mar/2025:01:36:52 +0000] "GET /favicon.ico HTTP/1.1" 404 6622 "http://localhost:8080/login" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Safari/537.36" "-"
172.22.0.1 - - [29/Mar/2025:01:39:48 +0000] "GET /login HTTP/1.1" 200 6697 "http://localhost:8080/login" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Safari/537.36" "-"
172.22.0.1 - - [29/Mar/2025:06:51:07 +0000] "GET /login HTTP/1.1" 200 6697 "http://localhost:8080/login" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Safari/537.36" "-"
172.22.0.1 - - [29/Mar/2025:06:51:07 +0000] "GET /favicon.ico HTTP/1.1" 404 6616 "http://localhost:8080/login" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Safari/537.36" "-"
172.22.0.1 - - [29/Mar/2025:06:55:30 +0000] "GET /login HTTP/1.1" 200 6697 "http://localhost:8080/login" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Safari/537.36" "-"
172.22.0.1 - - [29/Mar/2025:06:55:31 +0000] "GET /login HTTP/1.1" 200 6697 "http://localhost:8080/login" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Safari/537.36" "-"
